Start_Zone,Favorite_End_Zone,Avg_Distance,Avg_Total_Distance
58,208,1.6638247337779672,5.562600874681106
59,78,1.1637790339577783,4.409066295576025
60,78,1.1580143798959361,4.2956972875580295
61,61,1.5075965058006513,4.223068630913763
62,61,1.6005942794338848,4.458641520815765
63,76,1.647523743718191,4.765099910994219
64,64,1.5846850009314906,7.09448583906829
65,97,1.0961937597510698,4.903681490410229
66,33,1.1118434696718316,4.968459640144251
67,14,1.5215395604472939,4.726030404373588
68,68,0.9802077034590756,4.788705381918782
69,247,1.1807772017709828,4.287470580715988
70,129,1.550786187254115,6.201554644854076
71,71,1.3018408006533606,4.1424889871991635
72,61,2.1997077154507436,3.8153771349835095
73,92,1.6010961569319642,4.440664645020047
74,75,1.3571058573184012,4.927842446116205
75,74,1.3254392204759284,4.560709630381222
76,76,1.5605296198336573,4.451427746552876
77,76,1.7434481882334543,4.2671229170049
78,78,2.4680286347156373,4.629696018255049
79,79,0.8975821374814277,5.37968620150761
80,255,1.2993841759466926,4.289044629623585
81,265,5.47962160262418,5.057062480484387
82,82,1.3894317275437593,3.8983157572429983
83,82,2.242996838786806,4.3241839280852625
84,84,1.8988704877653426,6.621158119099564
85,89,1.5735276545827732,4.666472749368731
86,86,1.1975429038199235,6.219147087056175
87,231,1.339134806609889,10.976769332883002
88,231,1.455367469761424,9.474074236908265
89,89,1.5300895363683598,4.848400162160945
90,68,2.6413099041364307,5.774708985239183
91,91,1.6705100220967632,4.558671373831634
92,92,1.1524324949552383,5.523634095352996
93,265,24.6898543675633,8.795942617638163
94,169,1.1002448169226748,3.9503189083676817
95,95,1.4854752235344872,5.049365498464684
96,95,2.4548572729878,5.189908679069126
97,97,1.1118500525750807,4.688935409721597
98,121,1.7984418529065809,5.610668121879505
99,5,1.7273118239182692,5.675840126973355
100,161,1.0055969926181274,4.9308646965078555
101,265,5.608384909602637,8.231774463126488
102,198,1.5473821232680574,4.457380927072371
103,265,2.5656098156440548,3.4389471756784538
104,265,2.169196401323591,2.706865756665889
105,105,2.0678545645585547,3.4664986700528972
106,181,1.512431341052274,4.767218213708605
107,170,1.0403189892163844,5.207598870321181
108,55,1.673804461418206,6.01952366125405
109,109,1.4697345747948853,5.7390324411377085
