Vendor_ID,month,Passengers_sum,Passengers_mean,Ride_Count
HV0005,2022-08,-4688389,-1.0007267901021648,4684983.999999999
HV0005,2022-09,-4898060,-1.0013951483837622,4891236.000000001
HV0005,2022-10,-5242261,-1.0075074982731773,5203198.0
HV0005,2022-11,-5245767,-1.0249860733649856,5117891.000000001
HV0005,2022-12,-5800923,-1.0252713929931023,5657939.0
HV0005,2023-01,-5035263,-1.027839838461003,4898879.0
HV0005,2023-02,-4808853,-1.0275256664911694,4680032.0
HV0005,2023-03,-6045239,-1.0315806484145258,5860171.0
HV0005,2023-04,-5149187,-1.0005240464860516,5146490.0
HV0005,2023-05,-5573127,-1.0005887054727525,5569848.000000001
HV0005,2023-06,-5555591,-1.0001737290683477,5554626.0
HV0005,2023-07,-5400530,-1.0000481457408612,5400269.999999999
HV0005,2023-08,-5179077,-1.0000185364649918,5178981.0
HV0005,2023-09,-5539928,-1.0000741941941869,5539517.000000001
HV0005,2023-10,-5810963,-1.0000404424368168,5810728.000000001
HV0005,2023-11,-5480756,-1.0000509079775355,5480477.0
HV0005,2023-12,-6243275,-1.0000967534569738,6242671.0
HV0005,2024-01,-5231532,-1.0000682447060172,5231175.000000001
HV0005,2024-02,-4950048,-1.0000414154549953,4949843.0
HV0005,2024-03,-5659187,-1.0000701563408432,5658790.0
HV0005,2024-04,-5029175,-1.0000664168940716,5028841.0
HV0005,2024-05,-5166743,-1.000091361835258,5166271.0
HV0005,2024-06,-4965634,-1.0000886168798238,4965194.0
HV0005,2024-07,-4854306,-1.0000280171481428,4854170.0
HV0005,2024-08,-5021184,-1.000036646086437,5021000.0
HV0005,2024-09,-4588764,-1.0000699583714998,4588443.0
HV0005,2024-10,-4883551,-1.0001191897798245,4882969.0
HV0005,2024-11,-4860949,-1.0000683040856748,4860616.999999999
HV0005,2024-12,-5137722,-1.000074941550457,5137337.0
T00001,2011-01,8614597,1.2805650923179743,6727184.0
T00001,2011-02,9042528,1.2650075172760251,7148201.0
T00001,2011-03,10268101,1.255480415223932,8178622.999999999
T00001,2011-04,10067566,1.2785607063120543,7874140.000000001
T00001,2011-05,10016879,1.2680160265389073,7899647.0
T00001,2011-06,9650522,1.2601017480387218,7658526.0
T00001,2011-07,9632783,1.2871833047508865,7483613.999999999
T00001,2011-08,8761267,1.2630069461102704,6936832.000000001
T00001,2011-09,9275442,1.256374458955085,7382705.0
T00001,2011-10,10068592,1.262809304556319,7973168.999999999
T00001,2011-11,9243886,1.2585122850775143,7345090.0
T00001,2011-12,9661459,1.2855028617412287,7515704.0
T00001,2012-01,8962960,1.236490525416319,7248709.0
T00001,2012-02,8949550,1.2271434749569243,7292994.000000001
T00001,2012-03,10057731,1.2319678107035363,8163956.0
